@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE class {angry, disgust, happy, sad, surprise, nocode, not-relevant}

@DATA
'\'Life Lessons from the Old Masters\', on Death. July 4 USER URL  #DeathArt with Jon Underwood &amp; USER',nocode
'USER curated a superb show of paintings by Terry Frost now on USER URL #terryfrost #leeds #painting',happy
'The new Waddesdon Collection room at USER is quite something. I haven\'t seen so much bling since Vienna!',happy
'USER I\'m trying to book the members curator talk or guided tour for pollock, but the links don\'t work. Are they sold out?',sad
'A new look at ancient Egyptian textiles URL via USER',happy
'Come &amp; hear songs from the USER Folkways archive played by USER USER &amp; band. July 7. URL',nocode
'Looking forward to a workshop USER on working with older ppl, exploring diversity &amp; sustainable partnerships #agefriendlymuseums 😊',happy
'Vast Database of African Rock Art Goes Online URL USER',nocode
'Nicholas Penny, outgoing director USER is knighted \"for services to the arts.\" URL',nocode
'Day 56: USER of Australia gardens in Canberra. #100daysofAustralia #apicaday URL',nocode
'Fallen Emperor: Napoleon in #Plymouth Sound in 1815, exhib USER until 26th Sept #art #waterloo200 URL',nocode
'USER USER that one looks so real',surprise
'Coffee time: I\'m thinking of you USER Pen is a pen is a pen... Like a rose URL',nocode
'James Richards accompanying Francis bacon goosebumps ❤️ USER',nocode
'USER on INSTA. Today is the longest day in the northern hemisphere – here’s the #SummerSolstice at Stoneh… URL',nocode
'We\'re open until 9pm tonight. Start your weekend with us: URL URL URL via USER',nocode
'Make an LED circuit brooch at the British Museum this weekend URL USER',nocode
'Dear USER #divestment is on the up. Will u join in &amp; stop accepting $ from the fossil fuel industry? #AskTheGallery',nocode
'Short video clip of Termas: Underwater Throne performance USER last weekend URL',nocode
'Little bit excited about this tomorrow. It\'s a BIG weekend for USER and friends.  #CastleHill15  URL',happy
'USER USER I think for web viewing it is hard to get the right balance. They cannot help the Forgers and Copyists too much!',nocode
'Today USER and I are off to look at some mummies at USER #happysuday',happy
'USER USER ok 10 mins...',nocode
'Enjoyed the excellent artist talk by Glen Ligon. USER',happy
'USER The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'Please have a look and comment on our Lichtenstein Art! USER USER USER USER  URL',nocode
'USER USER Hi, Israel!',nocode
'USER Did Napoleon really say Britain was a nation of shopkeepers?',surprise
'USER USER USER yes mermaid wonderfully scary  for the kids - but now seems to have gone last time we looked',sad
'We popped to USER at lunch today to see this lovely exhibition! Highly recommended! #MOOi #cambridge URL',happy
'Unmissable! USER Summer Show opens tonight. En route via USER URL URL',happy
'USER I was at the USER earlier today and thought if you.. URL',nocode
'#UK to try to block departure of #Cezanne painting &gt; URL USER USER URL',nocode
'USER  It\'s beautiful - the colours are so lush and vibrant!',happy
'#NG365 Cornelis Bega\'s \"An Astrologer\" (1663) USER #art #twitart URL',nocode
'It\'s amazing &amp; uplifting to visit USER in #London. Art is the way to purify the soul USER URL',happy
'USER USER USER the Herakles one? Yes, found it very  interesting!',happy
'USER is sending us to USER this Friday. Come to see the latest 3D visualisations of weather forecast data',nocode
'#JamesRichards combines new installation with turbulent #francisbacon at USER URL URL',nocode
'Lost in the exquisite crosshatching of this Hendrik Goltzius silverpoint self-portrait USER on view USER URL',happy
'#Repost USER ・・・ Cupid finds Psyche in this watercolour by Edward Burne-Jones, who died… URL',nocode
'USER USER USER USER USER USER #freethenipple',not-relevant
'Testimonis de la civilització assíria procedents de Nínive amb 3500 anys d\'antiguitat al USER avui URL',nocode
'Loving the Monets at USER in London.  #inspiration #creativity URL',happy
'Book spotting at USER the other week URL URL',nocode
'USER wonderful ....gorgeous',happy
'USER #AskTheGallery Nicholas Penny: Will you reinstate Candy Unwin who a judge believes was dismissed for Trade Union activity?',not-relevant
'Great visitor services from USER who sent me a new bag for life when mine was faulty - will muss you dearly! #thankyou',happy
'USER USER is putting all of the shots together so will be on USER website soon',nocode
'#DefiningBeauty USER stunning. See it while you can - awe inspiring and uplifting.',happy
'FREE PENS GIVEAWAY on our FB page... USER USER USER USER URL',nocode
'Another lovely visit to USER I\'m always delighted &amp; uplifted by the Children\'s Commission showing the wonderful school projects',happy
'USER URL please contact USER today and stop this destruction of fertile lands. USER USER',not-relevant
'19thc Aussie indigenous resistance leader Jandamarra weapons USER URL #twitterstorians URL',nocode
'USER USER EXQUSITE!',happy
'Jericho skull (ME 1274142) &amp; Amenhotep III (EA 3) and a glass of rosé with USER USER',nocode
'USER no need to worry, everyone else knows anyway. You are a very lucky man :-) USER USER',not-relevant
'USER USER Definitely one our our favourite places too! We\'re absolutely thrilled we\'re now a short walk away!',happy
'Mini-potter around USER galleries I rarely see - love the Clocks gallery &amp; the incredible automata #museums URL',happy
'There\'s still time to enter our art DVD and book bundle giveaway. Find out more here: htt... URL via USER',nocode
'Saw these and thought of you USER #AnimalMummies (EA 6773, 11134, 6752, 26847) USER #GiftsForTheGods URL',happy
'I\'m at USER in London, Greater London w/ USER URL',nocode
'USER USER do today\'s visitors to a picture gallery have different expectations to those of yesteryear?  Can you illustrate?',nocode
'#artnews for your Sunday afternoon: fantastic new exhibit USER URL We &lt;3 #DCmuseums!',happy
'Just a little bit excited! The Castle Hill Open Day 2015 schedules have arrived USER :)… URL',happy
'FINALLY it\'s #DefiningBeauty USER day! Can\'t wait to feel overwhelming awe.',happy
'Last chance to see Kettle’s Yard for two years!!!! USER USER  URL',nocode
'A ‘sparkling show’ of Turner, Singer Sargent &amp; Cézanne watercolours USER Cambridge URL URL',happy
'Ancient beauty and modern lives URL via USER',nocode
'Bacchae are getting ready for performing at the USER on the 23rd July! Have a look here for more details! URL',nocode
'So... USER and USER are responsible for trending #SummerSolstice in America. Hell yeah: URL',happy
'Another wonderful day! At the Castle St Methodist Church. Please come by! USER USER USER URL',happy
'#DonneInArte #DonneEScultura etrusche e romane USER URL',not-relevant
'USER USER is there any particular message?',nocode
'\"San Juanito con cordero\" de Bartolomé Esteban Murillo (h. 1665) USER USER USER USER URL',nocode
'Do you know what\'s hidden in Holbein\'s \'The Ambassadors\'? Visit room 4 to find out: http:... URL via USER',nocode
'USER A book symbolises wisdom, armour - resistance to hardships of life, glass may be for medicine?',nocode
'USER I only really know the de Hoochs in the USER Thanks for posting these.',happy
'⭐️⭐️⭐️⭐️⭐️ USER Jackson #Pollock Blind Spots USER  URL',nocode
'USER Wait, no, is there a secret Leonardo drawing slipped inside one of the books?',surprise
'USER USER USER   Always my first stop in London.',happy
'\'Watercolour: Elements of Nature\' opens this week at the USER URL URL',nocode
'USER USER Many thanks for that.',happy
'USER The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'Today I\'m at my favourite museum USER - pictures to follow URL',happy
'Join me for an art discussion \'Setting the Scene\'! USER #art #shoreditch #hypeapp URL URL',not-relevant
'EXPOSE yourself to the elements; Watercolour - Elements of Nature opens USER today 16 Jun-27 Sep 🎨☔️⛅️ URL',nocode
'\"The Ancient Egyptian exhibition never fails to teach me something new. There\'s a...\" Foursquare Tip USER URL',nocode
'Had a fantastic day at the USER - managed to get into both #8mummies and #IndigenousAustralia exhibits. Both great!',happy
'Taking the day off work to go to the Gaudier-Brzeska exhibition at USER Just in time, too - closes on Sunday!',happy
'Inspire your budding junior artists USER #FamilyProgramme URL #Children #DubliNow URL',nocode
'LAST CHANCE to see The Production Line of Happiness by American photograpgher #ChristopherWilliams USER URL',nocode
'USER USER USER USER USER USER USER USER Torna la USER ! ;-)',happy
'Event USER 19 June 6.30pm: James R. Banker on who Piero della Francesca really was. Info: URL',nocode
'Gorgeous! Look at the craftsmanship!!! Repost USER with repostapp. ・・・ Born #onthisday in… URL',happy
'USER USER USER Fancy!  And lucky!!   Don\'t forget to let me know if the Haka workshop gets booked in :)',happy
'USER oh god!',surprise
'USER Our favourite is USER \'cos of all the old-school videogames they have for you to play, &amp; the ancient computers!',happy
'Our manager Rosh has a piece in #EvolverPrize2015  USER exhibition which starts next week USER URL',nocode
'USER Hi been trying to phone for two days and no one ever picks up, are your phones down?',sad
'Next week the USER Roadshow will be USER USER &amp; Sunderland Library - book your place at URL',nocode
'USER USER Got my train ticket booked already! #cantwait',happy
'.How To Make A Turquoise Goblet. via USER URL',nocode
'Now you can ask the Director of USER with #AskTheGallery   URL',not-relevant
'USER The second GENOCIDE against #Biafrans as promised by #Buhari has begun, 3 days of unreported aerial Bombardment in #Biafra',not-relevant
'Link URL por USER es el tuit más popular en mis \'news feed\' de hoy',not-relevant
'Great news for #barbarahepworth legacy in St.ives with Palais de danse workshop passing to USER  URL',happy
'Laura Smith from USER brilliant on Woolf and Kristeva, feminine vs. masculine time #materialhistories',nocode
'nigga wearing chestnuts USER USER',nocode
'Discover The Arts with Social Media: Rod McIntosh Co-Founder of NOHO Artists URL USER #London #Art #Video',nocode
'USER USER Yes, it is.  It\'s hard to believe that Bernard Berenson disparaged Reni.',surprise
'USER USER USER USER USER yes see you all USER #EvolverPrize2015 #Art #southwest',happy
'USER acquires Barbara Hepworth\'s Palais de Danse workshop - BBC News. Great news!#barbarahepworth #sculpture URL',happy
'USER thanks - we\'ll let them out again past the massive door.',nocode
'We\'re next door to USER USER URL',nocode
'The Greek inscription on the sitter\'s cap in this work translates to \'Alas, I desire too ... URL via USER',nocode
'#LastChance See Christopher William\'s exhibit \"The Production Line of Happiness\" at USER Closes Sunday!',nocode
'USER URL',nocode
'USER USER En fait, série de Monet de12 toiles, 3e expo impressionniste en 1877 + pont de l\'Europe URL',nocode
'Very interesting conference coming up USER #artmarket URL',happy
'USER Lessons in Death and Living. Death in USER paintings. Can we still relate to them? URL',nocode
'We are very pleased to provide the speaker cable for  #Soundscapes at the USER URL URL',not-relevant
'Gold finger ring/armillary sphere, German, 17thc. USER Curious to know how this is worn on the finger. URL',surprise
'USER USER USER Here a #Girl luring quicksilver from a mine with her beauty c18th #Mughal USER',nocode
'Review of a super workshop at USER looking at Canaletto’s Festival of St Roch from my art diary.  URL',happy
'Last weekend to go to USER in #Cambridge for two years this weekend. GO GO GO! URL #art #culture #refurbishment',happy
'USER USER USER USER That\'s a very fine Matthias Stom.',happy
'USER \"valleylist) v340 r.1—medium is the message should work for most people most of the time--internet URL',nocode
'USER it\'s a greave!',nocode
'Saw this &amp; thought of you USER Mummy of unidentified man, Roman Period (EA 6714) USER #DeadThings URL',nocode
'Undoubtedly one of the most beautiful museums in Europe.. missing a few marbles though USER .....#Greece  URL',happy
'USER USER USER USER USER Currently filming \'The Spice Box\' for a permanent legacy in the House.',nocode
'Lovely reception at the USER on Monday #eventprofs URL',happy
'Looking forward to volunteering for USER with a visit to USER today',happy
'Your courteous reminder - USER Cambridge closes for a two year refurb on Sunday. URL',nocode
'Just realised that was you USER at USER talking to USER just before you came &amp; put your halfpennies in the box',nocode
'From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt USER URL',nocode
'USER do u consider 1 work the 🌟 around which you build engagement w collection, or do u take a holistic approach? #AskTheGallery',nocode
'One of my favourite galleries in USER URL',happy
'USER hi what\'s the strike about please?',nocode
'LATEST PURGE ANNOUNCEMENT: Athens Now USER , new Frans Zwartjes album, Endless Tape Series, EC1 &gt; &gt; &gt; URL',nocode
'USER Everything you need to know about Jackson #Pollock URL\" &gt;&gt; gotta go USER',nocode
'Excited for our USER #SummerSchool session tomorrow. With speakers from USER USER USER and USER',happy
'USER #NG365 No.51 Bronzino\'s \"Portrait of a Young Man\", on loan to USER #art #twitart URL”',nocode
'Review of display at USER of their El Greco\'s to mark the loan of an altarpiece from the Louvre. URL',nocode
'#Minneapolis #rock the garden USER USER USER URL',nocode
'USER USER Such a lovely space (and nice to perform in too) x',happy
'USER USER well said',nocode
'Second phase of Cornwall’s Tate St Ives steams ahead USER USER USER URL',happy
'USER USER It\'ll be fun!',happy
'USER no worries. Good to hear we might see you on 4th. I wondered from some tweets if you might USER USER',happy
'Head to the USER for an Inside a Paris goldsmiths’ workshop: From design to gold box with Dr Heike Zech URL',nocode
'We’re feeling very Enid Blyton today: an Enid expo starts today USER  try USER for Famous 5 action URL',happy
'WATERCOLOUR - Elements of nature exh USER opens today. Accompanied by display of Turner watercolours. URL',nocode
'Le directeur de la USER est en Q&amp;A demain... profitons-en!!  URL',not-relevant
'USER Now that\'s art. URL',happy
'USER URL',nocode
'Ancient Jomon pot USER reused 200 yr ago in tea ceremony URL #archaeology #objects2015  URL',nocode
'So happy that my work has been selected to exhibit USER for the #EvolverPrize2015 !!',happy
'Thank you #London for keeping those safe USER #Assyrian #Mosul #Iraq #Mesopotamia #War #Heritage URL',nocode
'USER oh yes it would: ask USER :-D USER USER USER USER USER',nocode
'USER URL',nocode
'We license USER Koan sculptures in promotional materials for #IMOOS USER URL',nocode
'USER USER USER - response from USER originalility of #SoundsOfOurShores rebutted w- un-originality of concept',nocode
'{ USER }, #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics URL',nocode
'\"Monet\'s \'Green Park, London\'     URL\" URL USER',nocode
'Only a few days left to enter USER comp to #win a trip for 2 with USER USER USER URL',nocode
'Favourite picture of the day. USER URL',happy
'USER Thanks so much for fave + RT today, much appreciated! Have a good weeked:)',happy
'Coin Room USER displays Genesis Block URL   URL USER URL',nocode
'USER USER Precies Sint Jan is de dag dat echte labbekakken geen werk meer hebben #eindvanaspergeseizoen',nocode
'USER USER USER Are there some \'Turners\' in there Ann?',nocode
'Excellent Christopher Williams USER URL',happy
'A Twitter Q&amp;A at 14.00 BST  USER #Waterloo200 #BonaparteAndTheBritish &amp; USER URL',nocode
'USER After staff privatisation next selling off donated works. Councils can do this without  consultation. Ask about missing art',angry
'USER USER thank you for coming Helen- it was lovely to meet you and I am so glad you enjoyed it!',happy
'If you\'re in to moving image, there are screenings/events/discussions on the topic at USER tomorrow! URL',nocode
'USER USER',nocode
'Fascinating exhibition coming to USER Stay tuned for details. URL',happy
'Our Anniversary conference is from 9 to 5 on July 3 USER Attendance is free  booking is essential through the BM box office.',nocode
'Jackson Pollock: Blind Spots, Glenn Ligon: Encounters and Collisions, + Geta Brătescu USER URL',nocode
'USER The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'USER and for public urinals called \"vespasiennes\"',nocode
'Very intense and well written on #LGBT history and exhibition #DefiningBeauty on USER of R.B.Parkinsson URL',happy
'Today 1.10pm USER £2:  URL Making and Promoting British Art URL',nocode
'USER #AncientLives exhibition. Wow!',happy
'members &amp; supporter email you MP urging them to attend debate 25 June #noprivatisation USER #reinstatecandy USER',nocode
'USER USER Wonderful landscapes too.',happy
'USER yes it\'s a bit of #skullduggery',nocode
'USER USER USER Hang on, that building has only just been renovated and at very great expense ...',surprise
'\"Creepy face appears in St Ives scone\" USER URL',not-relevant
'We’re really excited about the Jackson Pollock exhibition USER at the end of the month! URL',happy
'My article out now on why ancient Greece is on everyone\'s lips: USER URL USER USER',nocode
'Join our Monday night half price wine club at #NationalCafe USER and enjoy our new bar menu USER URL',nocode
'Been talking clay pipes and pottery with USER today. The beginnings of a fab collaborative project. URL',happy
'\"Athens Now!\" A symposium of radical film from contemporary Greece USER 4 Jul, 1.45pm URL',nocode
'USER URL',nocode
'Lunch time at the USER #refuel URL',nocode
'Why Jackson Pollock gave up painting USER USER URL',nocode
'Twitter Q&amp;A tmrw 10.30-11.30 with USER Director. #AskTheGallery today to #KickOutShell, #ReinstateCandy URL',not-relevant
'USER USER I\'ll come if we can get bevvies after 😁😂',not-relevant
'Construction steams ahead on Tate St Ives phase two USER USER USER URL',not-relevant
'#FF USER USER USER USER USER USER USER USER USER',nocode
'USER so greave sis the fancy name for shin guards my english is progressing by leaps!',nocode
'Doing research about the USER  British Museum - one of the most fabulous places for archaeology! URL',happy
'Incidentally, he\'ll be in convo tomorrow USER talkin\' theatricality in contemp art &amp; stage design USER',nocode
'USER Within a day I realised we needed to buy two of Titian\'s greatest painting... URL via USER',happy
'USER Any favourite artwork(s) made to commemorate #Waterloo200 ?',nocode
'Construction steams ahead on Tate St Ives phase two USER USER URL URL',nocode
'USER USER ☕',nocode
'Budding artist that cant stop drawing, get your kids artwork on the walls of USER &gt;&gt; URL URL',nocode
'USER USER I know, so disgusting. USER should be ashamed.',disgust
'USER USER USER USER USER USER USER USER USER e #battle sia',not-relevant
'Late Pollock set to be one of the most provocative &amp; absorbing shows USER USER URL URL',happy
'USER USER I believe Mrs Thatcher thought it was a compliment and used it frequently in her speeches URL',nocode
'Showing your workings USER The Production Line of Happiness. Really interesting hang and subject URL',happy
'USER always manage to be fresh and unexpected &amp; they\'ve done it again with #pollock . Brilliant. URL',happy
'USER USER Any analysis of metal compounds within the Prussian forces swords? #BonaparteAndTheBritish #Waterloo200',nocode
'Wish USER would help more with improvements to Bloomsbury Sq, where hundreds of visitors to the museum pass through every day!',sad
'The Cantabridgia Daili is out! URL Stories via USER USER USER',happy
'Artist Jackson Pollock\'s black pourings to be exhibited USER in largest exhibition for 3 decades - URL',nocode
'What a treat RT USER Exhibited for the first time in 15 years, Ruskin\'s Turners are on (cont) URL',happy
'Patients of Sharp Ward are enjoying historic views of the city thanks to USER URL URL',happy
'USER Вообще, 1042 год !!!',nocode
'The crowds were out in force at the USER today. Lovely warm afternoon. URL',happy
'#objects2015 at the USER for the second keynote by Tim Knox URL',nocode
'This Sat #CastleHill15 is packed with free events indoors &amp; out for all ages - plus last chance to see USER URL',nocode
'My favorite museums in #London are USER  USER and USER artifacts in Military,Human Civilizations and Geology.',happy
'Looking forward to Honiton Ice cream shop visit on the way to USER in July to see USER Prize 2015. Glad to be showing too',happy
'USER Odin blesses you! = :0) #FF USER USER USER USER USER USER USER',happy
'Checking on the USER archive @ the #HamiltonKerrInstitute thank you for showing us around USER URL',happy
'Gaaf het USER gebruikt periscope om rondleidingen te streamen URL',happy
'I\'m back! USER #bestartgallery #bringonpollock URL',happy
'Saw this on visit USER with daughter.History of \'zar\' ceremonies where used -fascinating. #SudaneseLyre  URL',happy
'A marvellous piece on USER &amp; rightly so. Jackson Pollock exh opens June 30 so make your way to Liverpool! URL',happy
'USER USER Fantastic!',happy
'Now in Parliament: whistles,  banner, leaflets confiscated. 3 managers here on USER time.  #noprivatisation #reinstatecandy',angry
'USER lots of disappointed people at the gallery today #strike #sadface',sad
'Celebrate the Feast Day of John the Baptist next week at our talk on his life depicted in... URL via USER',nocode
'Off to see USER s first solo exhibition USER tonight!',happy
'USER Thank you for this interesting information, have a nice day!',happy
'Students ages 16+ can get a taste for subjects they are interested in as arranged by USER sign up now URL',nocode
'Roman gem engraved with Odysseus, his ship, and three sirens. Via USER archives URL URL',nocode
'Start your USER #FirstThursday at Ceviche Old St Gallery from 6pm next week: URL URL',nocode
'Beautiful Roman period statue of girl playing knucklebones tucked away where I hadn\'t seen it before USER URL',happy
'Cool thing to stumble upon USER tween meetings  #yearofpercussion #persepolis URL',happy
'Delighted to have work selected for the #EvolverPrize2015 USER on July 4th URL',happy
'And two works from USER are part of the rather thrilling story of Hepworth and Ben Nicholson in London in the 30\'s USER #Hepworth',happy
'USER thanks for fav-ing. I spent 40m in yr place b4 a biz meeting and you know what, my heart soared! #artforthesoul',happy
'BritishMuseum: RT USER LOVED Ancient Lives &amp; New Discoveries USER so fascinating and ama…ht… URL',happy
'Watercolour: Elements of Nature\' opens this week at the USER URL',nocode
'Don\'t forget to check out USER this weekend! URL',nocode
'USER superb. Great to see you educating people. My personal all time favourite?  Carravagio.',happy
'National Gallery dispute to be discussed in Commons in adjournment debate at 4pm today URL USER USER',not-relevant
'USER Hayden\'s Surprise symphony?',nocode
'USER The craftsmanship is so stunningly beautiful, hope to see it in person soon!',happy
'Downtown USER #JazzInTheGarden USER URL',nocode
'Thank you Dr Doria Tichit and USER for a facinating afternoon USER URL URL',happy
'USER USER might end up closer to you once most of them are back at USER or USER 😎',nocode
'Dear USER here you are #Pizzidimonte where was found the #Offerente that now is in you #museum #regards URL',nocode
'USER the USER could keep you busy for so long! its packed with history!',happy
'USER USER That\'s my favourite bit. It\'s got a mermaid and everything!',happy
'Must see USER #onlyinLiverpool #Pollock  URL',happy
'“Every good painter, paints what he is” said artist #JacksonPollock. View his black period through Blind Spots exhibition at USER',nocode
'USER diving deep into this.',nocode
'USER The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'Have you seen the summer menu at the Great Court Restaurant USER URL URL',nocode
'Work by USER #AnthonyCaro &amp; Renaissance painter #Duccio displayed together at USER for first time URL',nocode
'NEW » Portrait Of An American Dream: Jackson Pollock &amp; Glenn Ligon Revealed USER URL URL',nocode
'Cant wait to go to the #AudreyHepburn Exhibition USER #icon Idolised this lady since I was a little girl. URL',happy
'Looking forward to tonight\'s talk on my hero Napoleon with USER USER',happy
'Develop your fundraising career at one of the world’s leading arts organisations! Apply to work for USER URL',not-relevant
'USER USER Amazing',happy
'GLORIOUS PERSPECTIVE OF KIDS they see things in such a twinkly way USER USER USER #rt #kid URL',happy
'Wow theyre #3dprinting a very ancient #museum pot for the millionth visitor USER #Exeter #technology #history URL',happy
'Encampment of the Royal Engineers in Bois de Boulogne after Battle of Waterloo by G.J. Scharf 1815  USER URL',nocode
'The pivotal series of \'black pourings\' by #JacksonPollock are on show USER from 30 June. #RARecommends URL',nocode
'Book for USER Field visit programme URL USER USER &amp; USER',nocode
'USER USER USER USER USER USER oh wow! That\'s fantastic!',happy
'USER What public programs of the museum have you found most effective and interesting for your audience? #AskTheGallery',nocode
'USER Egon Schiele - at the moment.',nocode
'‘The Park is Open’… URL via USER &lt; AWESOME!',happy
'BBC News - Tate St Ives acquires Barbara Hepworth\'s Palais de Danse workshop URL USER',nocode
'I\'m at USER in London, Greater London URL',nocode
'Great #collection preserved for the future by USER ! URL',happy
'Cfp \"Negotiating art ǀ Dealers and museums 1855-2015\" USER USER USER  URL',nocode
'My favourite painting at USER was \'Noli me tangerine\' by an unknown 14th C artist. I could see Jesus, but not a single orange!',happy
'MPs urge government to intervene to resolve #PCS dispute over privatisation at USER URL USER',nocode
'USER thank you for this excellent tour of #Waterloo200 from Columbus, Ohio.',happy
'Studio visit with Karl Bielik USER ahead of #londonopen USER URL',nocode
'Spent my afternoon admiring the enchanting objects in the new Waddesdon bequest display USER A must visit! URL',happy
'In case I don\'t love the USER enough - check their swoony coffee cup design! URL HT USER',happy
'Defining our beauty - amazing group of creative older people perform tomorrow eve USER #creativeaging thank you USER',happy
'USER welcome to Kerepakupai Vena! URL',happy
'Journey through our rooms and collection by following us on Instagram: URL URL via USER',nocode
'USER USER Formidabile✨',nocode
'The tranquillity of the USER members room and chance to reflect on those drawings yet to emerge on the page URL',nocode
'From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt USER URL',nocode
'USER You\'re. You are. When you are. This is the Tate!',nocode
'Excited to be enroute to this #nighttrain #artistnetworks USER  URL',happy
'Zoroastrian Heritage. [photo] #flickstackr USER URL',nocode
'Another flying soul (εΐδωλον) by \"the great master of the white lekythos\" URL USER URL',nocode
'#ff USER USER USER USER USER USER USER USER USER',nocode
'Looking forward to the Pollock show opening at USER tonight. Looks like an incredible show! #JacksonPollock #blindspots',happy
'USER USER USER URL',nocode
'USER URL',nocode
'USER What is the symbology behind the broken scepter?',nocode
'Decoding Anglo-Saxon art URL via USER',nocode
'Why Jackson Pollock gave up painting USER URL USER URL #Art URL',nocode
'Object based learning USER USER from USER  #ccconf2015 URL',nocode
'Evacuation at USER URL',nocode
'USER USER USER #BertheMorisot\'s daughter #JulieManet wrote a frank diary about the family URL',nocode
'Just because it\'s #Monday! An Old Woman (The #Ugly Duchess) by Quinten Massys USER #art URL',happy
'USER USER The Grand Elector?',nocode
'Judging by #DefiningBeauty USER the Greeks had a good go at just that. I have #AlexanderTheGreat hair envy. URL',happy
'How is the exhibition schedule decided USER and how does your role as Director feed into this? #AskTheGallery',nocode
'Boulevard Montmartre at Night by Camille Pisarro USER URL #FavouritePaintingFriday URL',happy
'USER USER Here\'s what Dumfries has URL',nocode
'The Minions are still on the loose! Last spotted outside the USER #MinionMania URL',not-relevant
'A trailer for my brand new film, The Touch Diaries! URL Previewing 9th July USER USER USER USER',nocode
'USER USER A veteran priest could probably whip out a heart in about 30 seconds with that... ❤️🔪😱',surprise
'MA Curating trip: USER USER USER USER URL',nocode
'USER USER 😂😂',nocode
'Looking forward to attending #DefeatDepression at USER this evening.',happy
'USER Love!',happy
'.37 Paintings. 11 Drawings. USER exhibits #Wtewael from Jun 28-Oct 4. #GoldenAge URL URL',nocode
'@ RT: \"RT USER Today marks the 200th anniversary of the Battle of Waterloo, f...\" URL',not-relevant
'New Pollock exhibition USER looks back at a time when Jack the Dripper splashed out URL URL',nocode
'USER #askthegallery - do you see a decline in attendance in the last few years in young people?',nocode
'London by [at]cassc246 #enlightenmentgallery USER  #library #gallery #museum #cabinet #artifacts #statue … URL',nocode
'USER it\'s Lincoln #materialhistories USER',nocode
'USER Look at our great fun we had today. Thank you Deena. URL',happy
'感動 (at USER in London, Greater London w/ USER USER URL',nocode
'USER Thanks for sharing! You\'re now featured on URL URL',not-relevant
'USER USER Regal. Frans Hals is so deserving of this frame.',happy
'Really looking forward to visiting USER this weekend to see Corin Sworn\'s award-winning installation &gt;&gt;&gt; URL',happy
'Lessons in death and living USER 4 July, 2–4 URL with Jon Underwood &amp; Christina Bradstreet',nocode
'Londres: USER USER USER USER USER USER URL',nocode
'Londoners interested in #nature may enjoy this free event USER #London URL',nocode
'BritishMuseum: RT USER Spent the morning learning about #8mummies USER Fascinating and well-pres… URL',happy
'2 very special places: we loved going to the USER when I was training in London; and now we\'re regular visitors to the USER',happy
'Go if you can, USER is a beautiful and inspiring place. URL',happy
'USER USER USER USER USER USER Quina enveja!!! Gaudeix moltíssim!!',happy
'USER ... not forgetting world class art &amp; stunning exhibits at at the Fitzwilliam Museum, Scott Polar Institute and Zoology Museum',happy
'USER USER how long is the Enid blyton exhibition on for?',nocode
'USER USER Your analysis superficial: Financial picture of museums in the UK is dire thanks to tory policy',not-relevant
USER,not-relevant
'Una app con actividades en torno a la colección de la USER para niños a partir de 9 años. URL #appartkids',nocode
'USER #AskTheGallery Will Candy Udwin be reinstated and  she and her colleagues be paid a living wage?',angry
'The Touch Diaries trailer! URL premiere 9th July USER USER USER USER USER',nocode
'USER Would you like to welcome children with hidden impairments to the museum? see this URL',nocode
'USER USER and thanks to the Tories no one can get close to see it,let alone have a festival, remembering 85',angry
'A warm welcome to all our #FF followers this week USER USER USER USER USER USER',not-relevant
'USER Today is longest day in northern hemisphere – #SummerSolstice at Stonehenge URL URL',nocode
'Weapons of resistance: Jandamarra, a hero of the Bunuba people URL via USER',nocode
'Simon Armitage in conversation with Thresholds poet Matthew Hollis USER on 6 July: URL URL',nocode
'One of the few items delivered in your post that will make you smile. USER let\'s head back to USER URL',happy
'The Nereid Monument was built in Ancient Lycia (Turkey). Pinched by 19th Century tourist, now at USER URL',happy
'CultureGeek URL via USER',nocode
'USER USER Our sister museum USER has a Waterloo exhibition this year.',nocode
'I\'m at USER in London, Greater London URL',nocode
'USER Uccello\'s \'The Battle Of San Romano\'-Loved it when I learnt abt it and even more when I actually saw it at Nat Gall.',happy
'#glitter Turq dress worn for a precursor of #Strictly USER collections on display, &amp; own pattern 4 crochet mini URL',nocode
'Congrats USER &amp; USER who\'ve won a pair of tix to The Artists Present USER on Sat! Collect tix from box office',not-relevant
'USER USER   si troppo tardi anche per me 😦',nocode
'Weapons of resistance: Jandamarra, a hero of the Bunuba people URL vía USER',nocode
'USER en what about artist Larry Bell still making art ?',nocode
'Actually it might be Ivana\'s big sister.. USER USER URL',nocode
'USER quern-magnet',nocode
